T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
1130 4.57649061E-03 2.47155585E-05 1.03040768E-09 4.37727330E-01 1.45717720E-04 4.11942171E-03 -2.46184011E-02 -2.46184011E-02 0.00000000E+00
1150 4.60989799E-03 2.49452791E-05 1.03827582E-09 4.43820793E-01 1.40253508E-04 3.88019009E-03 -2.41191091E-02 -2.41191091E-02 0.00000000E+00
1170 4.57418322E-03 2.45087617E-05 9.96833757E-10 4.46829840E-01 1.33806666E-04 3.86305206E-03 -2.36313782E-02 -2.36313782E-02 0.00000000E+00
1190 4.56522123E-03 2.45036045E-05 1.01769219E-09 4.35017183E-01 1.34373815E-04 3.74452155E-03 -2.31966568E-02 -2.31966568E-02 0.00000000E+00
1210 4.47145895E-03 2.35047152E-05 9.20144540E-10 4.44831507E-01 1.26682795E-04 3.48550856E-03 -2.27414241E-02 -2.27414241E-02 0.00000000E+00
1230 4.50596357E-03 2.38522901E-05 9.52638443E-10 4.41855457E-01 1.25965147E-04 3.49884313E-03 -2.23270976E-02 -2.23270976E-02 0.00000000E+00
1250 4.53253719E-03 2.40696968E-05 9.73534393E-10 4.39870035E-01 1.23154050E-04 3.24853192E-03 -2.19021956E-02 -2.19021956E-02 0.00000000E+00
1270 4.51720571E-03 2.38718938E-05 9.52956684E-10 4.42585634E-01 1.19184279E-04 3.06629808E-03 -2.14976179E-02 -2.14976179E-02 0.00000000E+00
1290 4.47499224E-03 2.34914340E-05 9.33338029E-10 4.36234298E-01 1.17307082E-04 3.06426046E-03 -2.11282092E-02 -2.11282092E-02 0.00000000E+00
1310 4.41380553E-03 2.29596206E-05 8.85776519E-10 4.39889785E-01 1.15918188E-04 2.87189531E-03 -2.07449142E-02 -2.07449142E-02 0.00000000E+00
1330 4.44351509E-03 2.31171044E-05 8.92700066E-10 4.43176646E-01 1.10706308E-04 2.74250867E-03 -2.03893753E-02 -2.03893753E-02 0.00000000E+00
1350 4.41779485E-03 2.30064562E-05 9.05898355E-10 4.29495912E-01 1.12858855E-04 2.76349791E-03 -2.00651826E-02 -2.00651826E-02 0.00000000E+00
1370 4.38551109E-03 2.25576422E-05 8.50164365E-10 4.43078179E-01 1.05965177E-04 2.67411546E-03 -1.97648159E-02 -1.97648159E-02 0.00000000E+00
1390 4.38157296E-03 2.26325634E-05 8.62899942E-10 4.38471640E-01 1.07878375E-04 2.59014780E-03 -1.94303943E-02 -1.94303943E-02 0.00000000E+00
1410 4.34897247E-03 2.22330847E-05 8.28017921E-10 4.41633909E-01 1.02791501E-04 2.50921694E-03 -1.91190396E-02 -1.91190396E-02 0.00000000E+00
1430 4.37174555E-03 2.24709807E-05 8.45151764E-10 4.42083257E-01 1.02553741E-04 2.52461597E-03 -1.88205956E-02 -1.88205956E-02 0.00000000E+00
1450 4.35283268E-03 2.22059838E-05 8.21655502E-10 4.44571097E-01 9.81283549E-05 2.35243622E-03 -1.85494097E-02 -1.85494097E-02 0.00000000E+00
1470 4.33317672E-03 2.20222939E-05 8.03433778E-10 4.47790691E-01 9.64083973E-05 2.28183205E-03 -1.82328866E-02 -1.82328866E-02 0.00000000E+00
1490 4.36416186E-03 2.25110369E-05 8.55550776E-10 4.37226635E-01 1.01539181E-04 2.22134869E-03 -1.79817019E-02 -1.79817019E-02 0.00000000E+00
1510 4.33019535E-03 2.21084378E-05 8.28792753E-10 4.34791637E-01 9.70922227E-05 2.17559709E-03 -1.77211229E-02 -1.77211229E-02 0.00000000E+00
1530 4.33829025E-03 2.20378491E-05 8.07847339E-10 4.45540749E-01 9.18061916E-05 2.10230823E-03 -1.74407040E-02 -1.74407040E-02 0.00000000E+00
1550 4.33280870E-03 2.21764638E-05 8.38635926E-10 4.31582268E-01 9.58651053E-05 2.02870025E-03 -1.72064972E-02 -1.72064972E-02 0.00000000E+00
1570 4.31725406E-03 2.21010392E-05 8.36088475E-10 4.29434387E-01 9.62881301E-05 1.96899831E-03 -1.69656305E-02 -1.69656305E-02 0.00000000E+00
1600 4.23875409E-03 2.12480835E-05 7.61008906E-10 4.38138912E-01 8.95350584E-05 1.71014989E-03 -1.65260079E-02 -1.65260079E-02 0.00000000E+00
